ID,Start time,Completion time,Email,Name,What is your gender?,What is your age?,What is your current level of education?,What was the table about?,  When did you read this table?,How many times had you looked at that table before?,What did you do with the table?  Check all that apply,What kinds of tables do you usually look at on your phone? (check all that apply),What kind of Table is this survey asking about?,Reading tables on phones is generally,"If a table you want to read is hard to read on your phone, are you most likely to",What do you find hard about reading tables on your phone? (check all that apply),What would make it easier to look at tables on your phone?
86,6/9/21 10:04:09,6/9/21 10:06:27,anonymous,,Female,27,Undergraduate Student,Finance / Money / Receipt / Invoice,In the last week,More than once,Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Hard to tell what text is in what row;,Being able to select a certain section to make larger
87,6/9/21 10:01:06,6/9/21 10:06:27,anonymous,,Female,46,Graduate Degree,Product Specifications,More than a month ago,More than once,Read the entire table word for word;Locate specific information;,"Restaurant Menu;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;,zoom in and zoom out
88,6/9/21 10:04:52,6/9/21 10:06:35,anonymous,,Male,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Locate specific information;,Nutrition / Ingredient list / Dosage chart;,A website that has lots of information on it,Easy,Use your phone anyway,Text is too close together;,"very fair
"
89,6/9/21 10:05:31,6/9/21 10:06:41,anonymous,,Male,33,Bachelor's Degree,Restaurant Menu,In the last week,Once,Locate specific information;Analyze/compare rows or columns;,Product Specifications;Restaurant Menu;,Text/Numbers arranged in rows and columns,Hard,Use your phone anyway,Table is too wide or too tall for screen;Text is too small;,NICE
90,6/9/21 10:00:59,6/9/21 10:06:45,anonymous,,Female,40,High School Diploma or GED,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Read the entire table word for word;Locate specific information;Copy/paste text from the table;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Table is too wide or too tall for screen;Text is too close together;Hard to tell what text is in what row;Hard to tell what text is in what column;,THINGS FOR FOOD
91,6/9/21 10:01:43,6/9/21 10:06:49,anonymous,,Female,36,Undergraduate Student,Restaurant Menu,In the last day,Never,Analyze/compare rows or columns;,Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,"Larger screen, And less wording"
92,6/9/21 10:00:55,6/9/21 10:07:00,anonymous,,Female,26,High School Diploma or GED,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,"If you could highlight certain data, so you could more easily compare the information you're interested in when the table is too big"
93,6/9/21 10:01:27,6/9/21 10:07:02,anonymous,,Female,24,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Locate specific information;Edit the table;Read the entire table word for word;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Hard to tell what text is in what column;Hard to tell what text is in what row;,"If there was a table text formatting for the phone, it would be easier.
Just yesterday I tried to open a table with my daily meals, and I was giving up viewing on my cell phone. Because it was a lot of information and all the time I had to drag to see something in particular. I ended up taking a screenshot of the screen on the pc, and opening the image on the cell phone."
94,6/9/21 10:05:21,6/9/21 10:07:04,anonymous,,Female,32,Bachelor's Degree,Restaurant Menu,In the last week,More than once,Locate specific information;,Restaurant Menu;Product Specifications;Nutrition / Ingredient list / Dosage chart;,A website that has lots of information on it,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Can’t see all the information I need at the same time;,options to click each section to enlarge it so it doesnt look so cluttered
95,6/9/21 10:05:41,6/9/21 10:07:07,anonymous,,Male,36,Bachelor's Degree,Restaurant Menu,In the last week,Never,Locate specific information;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,nice
96,6/9/21 10:00:46,6/9/21 10:07:08,anonymous,,Female,37,Graduate Degree,"Schedule (Bus, event calendar, time sheet, etc.)",In the last day,More than once,Locate specific information;,"Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Any table we look for on our phone,Easy,"View the table on a larger device (e.g., laptop or tablet)",Hard to tell what text is in what row;Hard to tell what text is in what column;Can’t see all the information I need at the same time;,swipe or scroll down the table to read the information
97,6/9/21 10:02:02,6/9/21 10:07:11,anonymous,,Female,33,High School Diploma or GED,Restaurant Menu,In the last week,Once,Locate specific information;,Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,zoom in on my phone,Text is too small;,If they were easier to read. Larger text and organized. 
98,6/9/21 10:03:15,6/9/21 10:07:12,anonymous,,Male,26,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Very Easy,zoom in or change from portrait to landscape. Adjust basically,Table is too wide or too tall for screen;Text is too small;Hard to tell what text is in what row;Hard to tell what text is in what column;Can’t see all the information I need at the same time;,A zoom to fit sort of option. This option would automatically and optimally adjust the size of the table to fit your phone screen.
99,6/9/21 10:00:59,6/9/21 10:07:18,anonymous,,Male,69,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Locate specific information;,"Restaurant Menu;Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);","What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Text is too small;,PHONE AND TABLE
100,6/9/21 10:00:55,6/9/21 10:07:20,anonymous,,Male,29,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Read the entire table word for word;Locate specific information;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;,I'ts easier to table and size is big and clear.
101,6/9/21 10:04:46,6/9/21 10:07:26,anonymous,,Male,28,Bachelor's Degree,Restaurant Menu,In the last day,More than once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;,zoom and large letters
102,6/9/21 10:07:08,6/9/21 10:07:44,anonymous,,Male,32,Graduate Student,Restaurant Menu,In the last month,Never,Copy/paste text from the table;,Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;Text is too small;,good
103,6/9/21 10:01:30,6/9/21 10:07:45,anonymous,,Female,42,Graduate Degree,Finance / Money / Receipt / Invoice,In the last day,Never,Locate specific information;Analyze/compare rows or columns;Copy/paste text from the table;Edit the table;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);Product Specifications;",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;Hard to tell what text is in what row;Hard to tell what text is in what column;,It must be in adjustable form. 
104,6/9/21 10:04:07,6/9/21 10:07:47,anonymous,,Male,45,Graduate Degree,"Schedule (Bus, event calendar, time sheet, etc.)",In the last month,More than once,Read the entire table word for word;Analyze/compare rows or columns;Copy/paste text from the table;,Restaurant Menu;Product Specifications;Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Easy,Give up and not read the table,Table is too wide or too tall for screen;Text is too close together;Text is too small;,"Table, amount"
105,6/9/21 10:06:07,6/9/21 10:07:55,anonymous,,Male,31,High School Diploma or GED,PC Graphics cards performance,In the last week,Never,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Product Specifications;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;Difficult/unable to zoom;,As long as the table can be expanded or zoomed by using two fingers and moving them apart I can read just about any table.
106,6/9/21 10:05:38,6/9/21 10:07:57,anonymous,,Female,28,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,to know the instructions more easily.
107,6/9/21 10:01:10,6/9/21 10:08:06,anonymous,,Male,24,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Locate specific information;Analyze/compare rows or columns;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;Text is too close together;,The table can better adapt to the size of the cell phone.
108,6/9/21 10:06:21,6/9/21 10:08:14,anonymous,,Male,30,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Very Hard,Use your phone anyway,Hard to tell what text is in what row;,None
109,6/9/21 10:03:11,6/9/21 10:08:16,anonymous,,Male,40,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;,Zooming option helps to see the table easily.
110,6/9/21 10:06:19,6/9/21 10:08:27,anonymous,,Male,30,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Analyze/compare rows or columns;Copy/paste text from the table;Locate specific information;,Nutrition / Ingredient list / Dosage chart;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,Zooming the pictures
111,6/9/21 10:00:42,6/9/21 10:08:32,anonymous,,Male,64,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;Locate specific information;Copy/paste text from the table;,Nutrition / Ingredient list / Dosage chart;Finance / Money / Receipt / Invoice;,A piece of furniture with a flat top and one or more legs,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;Text is too close together;,data
112,6/9/21 10:06:43,6/9/21 10:08:39,anonymous,,Female,33,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Product Specifications;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Hard to tell what text is in what row;Hard to tell what text is in what column;,Better table formats
113,6/9/21 10:00:40,6/9/21 10:08:42,anonymous,,Male,29,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last month,Once,Read the entire table word for word;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Product Specifications;,"Nutrient content,Ingredients",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,Makes the text size large
114,6/9/21 10:04:05,6/9/21 10:08:46,anonymous,,Female,27,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Analyze/compare rows or columns;Locate specific information;Read the entire table word for word;,"Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Hard to tell what text is in what row;Hard to tell what text is in what column;,"Make it so that it's kind of interactive, like even if you can't see the whole table at once, if you scroll from left to right it would still keep the row labels so that you can tell what you're looking at. I know some tables already work like that. The same could be done with the column labels, if you're trying to just look at a portion of the table. Maybe make it so the text size is adjustable."
115,6/9/21 10:08:05,6/9/21 10:08:46,anonymous,,Female,32,Graduate Degree,Product Specifications,In the last month,Once,Analyze/compare rows or columns;Locate specific information;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too close together;Text is too small;,good
116,6/9/21 10:03:25,6/9/21 10:08:51,anonymous,,Female,29,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Locate specific information;Read the entire table word for word;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Product Specifications;,A website that has lots of information on it,Neither Easy nor Hard,Use your phone anyway,Text is too small;,TO MAKE BIG FONTS AND MAKE IT A CLEAR SECTION OF EACH SPECIFICATIONS.
117,6/9/21 10:02:05,6/9/21 10:09:03,anonymous,,Male,36,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Read the entire table word for word;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Table is too wide or too tall for screen;,I make in phone to easier to look to easy way
118,6/9/21 10:05:33,6/9/21 10:09:13,anonymous,,Male,27,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Analyze/compare rows or columns;Locate specific information;Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,zoom
119,6/9/21 10:07:27,6/9/21 10:09:14,anonymous,,Male,25,Bachelor's Degree,Restaurant Menu,In the last week,Once,Read the entire table word for word;Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,A piece of furniture with a flat top and one or more legs,Neither Easy nor Hard,Use your phone anyway,Can’t see all the information I need at the same time;,I love tables
120,6/9/21 10:01:37,6/9/21 10:09:14,anonymous,,Female,28,Undergraduate Student,"A mix of invoice, receipt, product specs, and nutrition",In the last day,More than once,Analyze/compare rows or columns;,"Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Finance / Money / Receipt / Invoice;Schedule (Bus, event calendar, time sheet, etc.);",tables on mobile phones,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;,if the tables were responsive as well
121,6/9/21 10:01:25,6/9/21 10:09:28,anonymous,,Male,38,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Finance / Money / Receipt / Invoice;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;,PHONE AND TABLE
122,6/9/21 10:04:00,6/9/21 10:09:32,anonymous,,Female,50,High School Diploma or GED,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Locate specific information;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Hard,Use your phone anyway,Text is too small;,"If it had an easier zoom method. I can zoom, but it's not very convenient and I often lose the spot I was trying to look at"
123,6/9/21 10:02:18,6/9/21 10:09:36,anonymous,,Male,49,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Read the entire table word for word;Analyze/compare rows or columns;Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,A website that has lots of information on it,Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;Text is too close together;Hard to tell what text is in what row;,more content and more information that contain the table..
124,6/9/21 10:06:31,6/9/21 10:09:39,anonymous,,Female,33,Bachelor's Degree,"Schedule (Bus, event calendar, time sheet, etc.)",In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,"Restaurant Menu;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);Finance / Money / Receipt / Invoice;",Text/Numbers arranged in rows and columns,Hard,Use your phone anyway,Can’t see all the information I need at the same time;Hard to tell what text is in what row;Hard to tell what text is in what column;Table is too wide or too tall for screen;,The tables should be aligned so that it would fit the screen.
125,6/9/21 10:06:31,6/9/21 10:09:41,anonymous,,Male,45,Bachelor's Degree,Product Specifications,In the last month,More than once,Locate specific information;Analyze/compare rows or columns;,Product Specifications;Weight comparisons (Ultralight backpacking);,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;,Scroll friendly is king since it usually does not fit!
126,6/9/21 10:03:50,6/9/21 10:09:46,anonymous,,Male,28,Graduate Degree,Restaurant Menu,In the last day,More than once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;Text is too close together;,"Tap Insert table. The table will be added to your document.
"
127,6/9/21 10:01:38,6/9/21 10:09:55,anonymous,,Male,51,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Text is too close together;,"We can zoom the table and enlarge the size as we want, it made easier to look at tables an phones"
128,6/9/21 10:01:37,6/9/21 10:09:57,anonymous,,Female,35,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Analyze/compare rows or columns;Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Table is too wide or too tall for screen;Hard to tell what text is in what row;,The table is easy to find the app and use horizontal mode to easy to read.
129,6/9/21 10:08:37,6/9/21 10:10:05,anonymous,,Male,35,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;,yes
130,6/9/21 10:05:29,6/9/21 10:10:11,anonymous,,Male,30,Bachelor's Degree,Restaurant Menu,In the last day,More than once,Analyze/compare rows or columns;Locate specific information;Read the entire table word for word;,Finance / Money / Receipt / Invoice;Restaurant Menu;Product Specifications;Nutrition / Ingredient list / Dosage chart;,A piece of furniture with a flat top and one or more legs,Easy,Use your phone anyway,Table is too wide or too tall for screen;,zooming is the 
131,6/9/21 10:07:47,6/9/21 10:10:18,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Read the entire table word for word;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;Hard to tell what text is in what row;,Having the table scroll instead of trying to fit it all on one page
132,6/9/21 10:08:00,6/9/21 10:10:21,anonymous,,Female,37,Bachelor's Degree,Restaurant Menu,In the last week,More than once,Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Can’t see all the information I need at the same time;Text is too small;,"If you were able to zoom it in or have it convert to something that is easier to read on a phone, that is mobile friendly"
133,6/9/21 10:09:33,6/9/21 10:10:26,anonymous,,Male,27,Graduate Degree,Finance / Money / Receipt / Invoice,In the last month,Once,Locate specific information;,Finance / Money / Receipt / Invoice;,A piece of furniture with a flat top and one or more legs,Easy,Give up and not read the table,Table is too wide or too tall for screen;,"The HTML table model allows authors to arrange data -- text, preformatted text, images, links, ... Each table may have an associated caption (see the CAPTION element) that provides a ... Cells may span multiple rows and columns. ... user agents may more easily communicate heading information about the cell to the user.
"
134,6/9/21 10:07:51,6/9/21 10:10:28,anonymous,,Male,29,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;,"Makes the text size large
"
135,6/9/21 10:01:05,6/9/21 10:10:34,anonymous,,Male,34,Graduate Degree,Restaurant Menu,In the last week,More than once,Read the entire table word for word;Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,The table can be in small size for example the font size can be minimized and the space between the rows and columns can be reduced
136,6/9/21 10:00:10,6/9/21 10:10:50,anonymous,,Male,29,Bachelor's Degree,"Expense, IPhone comparison, Nutrient content, Ingredients to make pizza",In the last day,More than once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Product Specifications;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too close together;,I can look whenever I want and I can look as close as possible.
137,6/9/21 10:07:24,6/9/21 10:11:00,anonymous,,Male,23,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Locate specific information;Analyze/compare rows or columns;,Restaurant Menu;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Hard to tell what text is in what column;,"A spreadsheet in high resolution that allows me to focus on certain parts without losing quality or creating blurs as well as using ""pages"" for each item are good ways to improve my reading.
"
138,6/9/21 10:08:59,6/9/21 10:11:06,anonymous,,Female,28,Graduate Degree,Restaurant Menu,In the last week,Once,Locate specific information;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too close together;,"A table is a grid of cells arranged in rows and columns. ... In Word, you can create a blank table, convert text to a table, and apply a variety of styles and formats to ... If the insertion point is in the last cell, pressing the Tab key will automatically create a new row. ... You may need to experiment to get the exact look you want.
"
139,6/9/21 10:07:22,6/9/21 10:11:12,anonymous,,Male,58,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Never,Locate specific information;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;,Be able to zoom it out and make it bigger.
140,6/9/21 10:07:27,6/9/21 10:11:19,anonymous,,Male,33,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;,Nutrition / Ingredient list / Dosage chart;,A website that has lots of information on it,Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Can’t see all the information I need at the same time;,Zoom in option and better table format and layout.
141,6/9/21 10:04:40,6/9/21 10:11:26,anonymous,,Male,29,Graduate Degree,Restaurant Menu,In the last day,More than once,Read the entire table word for word;Locate specific information;Copy/paste text from the table;Analyze/compare rows or columns;,Restaurant Menu;Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;,"Tap Insert table. The table will be added to your document.
"
142,6/9/21 10:06:35,6/9/21 10:11:41,anonymous,,Male,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Very Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;Hard to tell what text is in what row;Hard to tell what text is in what column;,Zooming
143,6/9/21 10:07:49,6/9/21 10:11:47,anonymous,,Male,30,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,Zooming the table.
144,6/9/21 10:08:05,6/9/21 10:11:49,anonymous,,Male,53,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,Once,Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Hard to tell what text is in what row;Hard to tell what text is in what column;,Bigger phone screens but even that would not help as screens are big today and still do not allow you to easily see a big table on a phone. 
145,6/9/21 10:00:52,6/9/21 10:11:55,anonymous,,Male,26,Graduate Degree,Product Specifications,In the last month,More than once,Locate specific information;,Product Specifications;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too close together;,Keep the table concise by keeping the crucial data only
146,6/9/21 10:00:57,6/9/21 10:12:03,anonymous,,Male,45,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Analyze/compare rows or columns;Read the entire table word for word;,"Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);Finance / Money / Receipt / Invoice;",Text/Numbers arranged in rows and columns,Easy,Print out the table,Table is too wide or too tall for screen;Text is too small;Hard to tell what text is in what row;,font size has to be increased
147,6/9/21 10:03:45,6/9/21 10:12:06,anonymous,,Male,42,High School Diploma or GED,Product Specifications,In the last week,Never,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,"Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);Finance / Money / Receipt / Invoice;",Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Can’t see all the information I need at the same time;,I honestly don't know how it could be made better. Maybe like a better sub catagory that combines relvant info that can pop up. I don't know if that makes sense the way I explained it...
148,6/9/21 10:08:44,6/9/21 10:12:07,anonymous,,Male,20,Undergraduate Student,Nutrition / Ingredient list / Dosage chart,In the last day,Never,Read the entire table word for word;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,a zoom tool
149,6/9/21 10:04:04,6/9/21 10:12:10,anonymous,,Male,60,Bachelor's Degree,Product Specifications,In the last week,Once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;Copy/paste text from the table;Edit the table;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Easy,Give up and not read the table,Text is too small;Text is too close together;,"Restaurant Menu

Nutrition / Ingredient list / Dosage chart

Product Specifications"
